signal_date,G1,G2,G3,G4,G5
2016-01-29,0.01518553460222119,0.014422695264690607,0.023332969564704823,0.02708773430173273,0.040385631294200204
2016-02-29,0.18162260067074648,0.16263412635133656,0.13230242745116538,0.12975476482509174,0.11564472692946155
2016-03-31,0.02061614919193493,0.003989274637752518,0.006073290200678502,0.014945092371041316,0.01595821191497682
2016-04-29,-0.036016569905155844,-0.03329917934499919,-0.022791281589860313,-0.03627659611709703,-0.026235896291881163
2016-05-31,0.028903837452237593,0.028537173214385474,0.04065118763788842,0.04384925176648468,0.010611753209456327
2016-06-30,0.011460976802271799,0.018063311452507586,0.002916728134365305,0.009192781312947105,-0.03449809756417757
2016-07-29,0.05890443189443092,0.051647233832514274,0.05262063433306463,0.038099508230757036,0.04109175063222858
2016-08-31,-0.001489033278002262,0.021043767292960123,0.020544599779458262,0.005363755902514645,0.01562043012864227
2016-09-30,0.019058368075050743,0.01687360698752457,0.014987508368720792,0.017071339453655993,0.0015341443808649154
2016-10-31,0.007117190487854175,0.02084422641396635,0.026949158471993643,0.02819706475080294,0.013071980401703404
2016-11-30,-0.06096970360149881,-0.05769959794380696,-0.05272665401945138,-0.030970608309165763,-0.030974019614969386
2016-12-30,-0.038338180847441235,-0.021665936439217062,-0.02278697472885391,-0.007439652610501197,-0.011474090827148531
2017-01-26,0.057333425187790145,0.04431925473698516,0.03838147175909194,0.036512047862369314,0.06555368345288212
2017-02-28,-0.004424342700606348,0.004871481746212897,-0.0003983056392615755,0.02919496044708859,0.005603067282474826
2017-03-31,-0.0775197079038464,-0.07349822051107935,-0.056645994443673096,-0.046620516724276986,-0.025256759785314917
2017-04-28,-0.09877733279758934,-0.09548796218635523,-0.07712303062738546,-0.07275405997345862,-0.07111120322090221
2017-05-31,0.10208605593465121,0.08920018548489467,0.08554293932844259,0.08159214318549372,0.07582267016574792
2017-06-30,0.022946703323738597,0.0019148312923926254,0.012474188986082178,0.025891084617995205,0.010233358618172898
2017-07-31,0.057734737833352666,0.026131461688632836,0.02639790113760253,0.024504212038882,0.05116895907399679
